dim,depth,heads,attn_dropout,accuracy,precision,recall,f1,auc,dataset,group
32,4,4,0.2,0.36231884057971014,0.36231884057971014,1.0,0.5319148936170213,0.5490909090909091,bupa,4
64,3,4,0.1,0.42028985507246375,0.3469387755102041,0.68,0.4594594594594595,0.4909090909090909,bupa,4
16,2,2,0.1,0.819672131147541,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.9035714285714286,cleve,4
32,4,4,0.2,0.8360655737704918,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.9083333333333332,cleve,4
64,3,4,0.1,0.8524590163934426,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.9369047619047619,cleve,4
16,2,2,0.1,0.7297297297297297,0.7288135593220338,0.9148936170212766,0.8113207547169812,0.7698975571315997,colic,4
32,4,4,0.2,0.7567567567567568,0.7377049180327869,0.9574468085106383,0.8333333333333334,0.7659574468085107,colic,4
64,3,4,0.1,0.7297297297297297,0.7368421052631579,0.8936170212765957,0.8076923076923077,0.8116627265563436,colic,4
16,2,2,0.1,0.7419354838709677,0.0,0.0,0.0,0.5360054347826086,haberman,4
32,4,4,0.2,0.7419354838709677,0.0,0.0,0.0,0.5346467391304348,haberman,4
64,3,4,0.1,0.7419354838709677,0.0,0.0,0.0,0.421875,haberman,4
16,2,2,0.1,0.7540983606557377,0.7435897435897436,0.8529411764705882,0.7945205479452054,0.8300653594771242,heart_c,4
32,4,4,0.2,0.7377049180327869,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.8605664488017429,heart_c,4
64,3,4,0.1,0.7868852459016393,0.8181818181818182,0.7941176470588235,0.8059701492537313,0.835511982570806,heart_c,4
16,2,2,0.1,0.7297297297297297,0.6842105263157895,0.48148148148148145,0.5652173913043478,0.7730496453900709,horse_colic,4
32,4,4,0.2,0.7432432432432432,0.7222222222222222,0.48148148148148145,0.5777777777777777,0.7714736012608353,horse_colic,4
64,3,4,0.1,0.7567567567567568,0.7647058823529411,0.48148148148148145,0.5909090909090909,0.7935382190701339,horse_colic,4
16,2,2,0.1,0.9154929577464789,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.9652173913043478,ionosphere,4
